date,amount,vendor,description,department,category,created_at
2025-05-17,1497.54,Hilton,Business trip,HR,Travel,2025-07-09 11:25:08
2025-06-29,4991.97,Apple Business,Computer equipment,Marketing,Equipment,2025-07-09 11:25:08
2024-09-22,762.39,Business Services Inc,Miscellaneous expense,Marketing,Other,2025-07-09 11:25:08
2025-04-30,2340.75,Heroku,API usage fees,Finance,IT Infrastructure,2025-07-09 11:25:08
2024-08-07,2388.08,Slack,Software licenses,Operations,IT Infrastructure,2025-07-09 11:25:08
2025-03-27,2067.47,GitHub,API usage fees,HR,IT Infrastructure,2025-07-09 11:25:08
2025-01-18,1441.48,Slack,API usage fees,Finance,IT Infrastructure,2025-07-09 11:25:08
2025-03-05,1779.78,Udemy Business,Conference registration,Engineering,Training,2025-07-09 11:25:08
2024-12-28,1392.76,Docker,Cloud hosting costs,Operations,IT Infrastructure,2025-07-09 11:25:08
2024-08-30,5470.94,PwC,Accounting services,Executive,Professional Services,2025-07-09 11:25:08
2025-04-22,514.88,GitHub,Cloud hosting costs,Marketing,IT Infrastructure,2025-07-09 11:25:08
2025-01-31,1750.68,Uber,Conference travel,Marketing,Travel,2025-07-09 11:25:08
2024-10-28,506.78,Enterprise Rent-A-Car,Conference travel,Operations,Travel,2025-07-09 11:25:08
2024-08-16,719.18,Business Services Inc,General business cost,Operations,Other,2025-07-09 11:25:08
2025-01-26,472.63,Home Depot,Meeting room supplies,HR,Office Supplies,2025-07-09 11:25:08
2025-01-19,151.26,AWS Training,Online course,Marketing,Training,2025-07-09 11:25:08
2025-02-15,508.39,Home Depot,Desk supplies,Engineering,Office Supplies,2025-07-09 11:25:08
2025-01-01,7251.87,Wilson Law Firm,Legal consultation,Operations,Professional Services,2025-07-09 11:25:08
2024-07-31,2632.43,Zoom,Software licenses,Engineering,IT Infrastructure,2025-07-09 11:25:08
2025-04-03,1740.52,DigitalOcean,Cloud hosting costs,HR,IT Infrastructure,2025-07-09 11:25:08
2025-01-24,2603.18,KPMG,Legal consultation,Sales,Professional Services,2025-07-09 11:25:08
2025-03-27,72.72,Office Depot,Desk supplies,Sales,Office Supplies,2025-07-09 11:25:08
2024-08-07,700.93,AT&T Business,Internet service,Finance,Utilities,2025-07-09 11:25:08
2025-04-14,344.52,Miscellaneous Vendor,General business cost,Operations,Other,2025-07-09 11:25:08
2024-07-22,377.23,Coursera Business,Conference registration,Marketing,Training,2025-07-09 11:25:08
2025-04-12,3808.49,ConEd,Internet service,Executive,Utilities,2025-07-09 11:25:08
2024-08-16,1980.52,AWS,Cloud hosting costs,Engineering,IT Infrastructure,2025-07-09 11:25:08
2024-09-07,144.72,Costco Business,Meeting room supplies,HR,Office Supplies,2025-07-09 11:25:08
2025-04-18,392.98,Conference Registration,Online course,Operations,Training,2025-07-09 11:25:08
2025-01-26,458.73,Pluralsight,Professional certification,Finance,Training,2025-07-09 11:25:08
2024-12-24,505.06,HubSpot,Content creation,HR,Marketing,2025-07-09 11:25:08
2025-03-12,2547.47,Microsoft Azure,Cloud hosting costs,HR,IT Infrastructure,2025-07-09 11:25:08
2024-12-15,5196.88,KPMG,Legal consultation,Marketing,Professional Services,2025-07-09 11:25:08
2025-05-10,742.68,Miscellaneous Vendor,General business cost,Sales,Other,2025-07-09 11:25:08
2025-04-02,1723.51,Hootsuite,Marketing tools subscription,Executive,Marketing,2025-07-09 11:25:08
2025-02-26,12419.76,Glassdoor,Recruitment fees,Sales,Personnel,2025-07-09 11:25:08
2025-02-26,1394.88,AT&T Business,Phone service,Operations,Utilities,2025-07-09 11:25:08
2025-02-04,618.72,Waste Management,Phone service,Marketing,Utilities,2025-07-09 11:25:08
2024-08-19,697.31,General Supplies Co,Miscellaneous expense,Finance,Other,2025-07-09 11:25:08
2024-11-06,1492.81,Adobe Creative,Marketing tools subscription,Sales,Marketing,2025-07-09 11:25:08
2025-02-16,2775.81,Lenovo,Computer equipment,Finance,Equipment,2025-07-09 11:25:08
2024-12-22,2384.25,Lyft,Business trip,Finance,Travel,2025-07-09 11:25:08
2024-10-11,1849.53,LinkedIn Learning,Online course,Sales,Training,2025-07-09 11:25:08
2025-06-18,669.81,Home Depot,Office materials,Operations,Office Supplies,2025-07-09 11:25:08
2024-11-24,3145.21,LinkedIn Marketing,Marketing tools subscription,Executive,Marketing,2025-07-09 11:25:08
2024-08-26,615.77,Coursera Business,Online course,Operations,Training,2025-07-09 11:25:08
2025-03-10,3441.16,Apple Business,Office furniture,HR,Equipment,2025-07-09 11:25:08
2024-11-28,22661.27,Paychex,Contractor payment,Executive,Personnel,2025-07-09 11:25:08
2025-06-08,817.65,Conference Registration,Conference registration,Engineering,Training,2025-07-09 11:25:08
2025-01-09,2462.27,Expedia,Client meeting travel,Executive,Travel,2025-07-09 11:25:08
2024-08-15,271.24,LinkedIn Learning,Professional certification,Engineering,Training,2025-07-09 11:25:08
2025-06-18,9502.4,Workday,Employee benefits,Marketing,Personnel,2025-07-09 11:25:08
2025-04-09,634.85,Miscellaneous Vendor,Miscellaneous expense,Executive,Other,2025-07-09 11:25:08
2025-05-24,706.89,Office Depot,Office materials,Engineering,Office Supplies,2025-07-09 11:25:08
2025-06-02,139.36,LinkedIn Learning,Conference registration,HR,Training,2025-07-09 11:25:08
2024-11-18,873.0,Lenovo,Office furniture,Finance,Equipment,2025-07-09 11:25:08
2025-01-27,1421.73,Airbnb,Conference travel,Marketing,Travel,2025-07-09 11:25:08
2024-08-21,1739.4,Canva,Ad campaign,Operations,Marketing,2025-07-09 11:25:08
2025-01-21,1153.34,Comcast Business,Phone service,Operations,Utilities,2025-07-09 11:25:08
2025-02-09,3059.76,Xerox,Computer equipment,HR,Equipment,2025-07-09 11:25:08
2025-01-24,7543.01,PwC,Accounting services,HR,Professional Services,2025-07-09 11:25:08
2024-07-26,183.21,Costco Business,Meeting room supplies,Operations,Office Supplies,2025-07-09 11:25:08
2024-11-26,774.19,GitHub,API usage fees,Finance,IT Infrastructure,2025-07-09 11:25:08
2025-03-27,2027.6,HubSpot,Ad campaign,Sales,Marketing,2025-07-09 11:25:08
2025-06-13,460.65,O'Reilly Media,Online course,Executive,Training,2025-07-09 11:25:08
2024-08-29,7726.11,Wilson Law Firm,Legal consultation,Operations,Professional Services,2025-07-09 11:25:08
2025-04-26,366.37,General Supplies Co,Miscellaneous expense,Marketing,Other,2025-07-09 11:25:08
2025-01-22,3450.04,McKinsey,Accounting services,Finance,Professional Services,2025-07-09 11:25:08
2025-04-19,2167.79,Deloitte Consulting,Business consulting,Executive,Professional Services,2025-07-09 11:25:08
2024-11-23,590.82,Comcast Business,Monthly utilities,Finance,Utilities,2025-07-09 11:25:08
2024-09-09,425.66,Expedia,Client meeting travel,Executive,Travel,2025-07-09 11:25:08
2024-12-15,2400.57,Hilton,Business trip,Operations,Travel,2025-07-09 11:25:08
2024-10-04,1096.95,Xerox,Computer equipment,Finance,Equipment,2025-07-09 11:25:08
2025-01-01,14058.5,LinkedIn Recruiter,Employee benefits,HR,Personnel,2025-07-09 11:25:08
2024-11-10,878.13,Pacific Gas & Electric,Internet service,Executive,Utilities,2025-07-09 11:25:08
2024-12-23,73.38,Amazon Business,Desk supplies,Executive,Office Supplies,2025-07-09 11:25:08
2025-07-01,1467.83,Airbnb,Business trip,Marketing,Travel,2025-07-09 11:25:08
2024-10-10,1541.32,O'Reilly Media,Professional certification,Engineering,Training,2025-07-09 11:25:08
2025-06-15,2014.63,NetGear,Office furniture,HR,Equipment,2025-07-09 11:25:08
2024-08-07,811.13,Coursera Business,Online course,Marketing,Training,2025-07-09 11:25:08
2025-06-29,733.52,IKEA Business,Desk supplies,HR,Office Supplies,2025-07-09 11:25:08
2025-01-30,851.88,LinkedIn Learning,Online course,Engineering,Training,2025-07-09 11:25:08
2025-05-29,4785.92,Smith & Associates,Accounting services,Finance,Professional Services,2025-07-09 11:25:08
2025-05-28,2030.54,Uber,Business trip,HR,Travel,2025-07-09 11:25:08
2024-12-18,3269.62,HubSpot,Ad campaign,Marketing,Marketing,2025-07-09 11:25:08
2024-07-23,7413.24,Smith & Associates,Accounting services,HR,Professional Services,2025-07-09 11:25:08
2025-03-30,168.73,General Supplies Co,General business cost,Marketing,Other,2025-07-09 11:25:08
2024-10-17,246.92,IKEA Business,Desk supplies,Sales,Office Supplies,2025-07-09 11:25:08
2025-01-14,1600.25,PwC,Business consulting,HR,Professional Services,2025-07-09 11:25:08
2024-08-16,60.26,Costco Business,Office materials,Marketing,Office Supplies,2025-07-09 11:25:08
2024-07-21,715.85,Pacific Gas & Electric,Internet service,Engineering,Utilities,2025-07-09 11:25:08
2025-02-21,13710.95,LinkedIn Recruiter,Recruitment fees,Engineering,Personnel,2025-07-09 11:25:08
2024-11-09,3656.94,PwC,Accounting services,Engineering,Professional Services,2025-07-09 11:25:08
2025-04-28,12978.97,Workday,Contractor payment,HR,Personnel,2025-07-09 11:25:08
2025-03-16,1702.61,Enterprise Rent-A-Car,Business trip,Operations,Travel,2025-07-09 11:25:08
2024-09-06,421.84,Best Buy Business,Desk supplies,Executive,Office Supplies,2025-07-09 11:25:08
2024-09-27,1328.17,Waste Management,Monthly utilities,Finance,Utilities,2025-07-09 11:25:08
2024-09-22,4367.4,Workday,Contractor payment,Engineering,Personnel,2025-07-09 11:25:08
2025-05-11,644.8,Home Depot,Meeting room supplies,Finance,Office Supplies,2025-07-09 11:25:08
2024-08-21,206.65,Costco Business,Desk supplies,Operations,Office Supplies,2025-07-09 11:25:08
2025-01-16,1686.05,Marriott Hotels,Client meeting travel,Operations,Travel,2025-07-09 11:25:08
2025-04-12,702.37,Business Services Inc,General business cost,Operations,Other,2025-07-09 11:25:08
2024-10-29,3339.6,LinkedIn Recruiter,Contractor payment,Sales,Personnel,2025-07-09 11:25:08
2025-04-02,11711.15,Workday,Employee benefits,Sales,Personnel,2025-07-09 11:25:08
2025-06-19,6164.45,Deloitte Consulting,Accounting services,Executive,Professional Services,2025-07-09 11:25:08
2025-04-08,2898.01,Adobe Creative,Content creation,Sales,Marketing,2025-07-09 11:25:08
2024-10-26,3708.46,PwC,Accounting services,Marketing,Professional Services,2025-07-09 11:25:08
2025-02-16,3622.76,Apple Business,Software/hardware,Finance,Equipment,2025-07-09 11:25:08
2024-11-09,3744.69,PwC,Accounting services,Sales,Professional Services,2025-07-09 11:25:08
2025-04-21,14434.36,Paychex,Recruitment fees,HR,Personnel,2025-07-09 11:25:08
2024-09-30,14495.03,Paychex,Employee benefits,Operations,Personnel,2025-07-09 11:25:08
2025-02-28,512.3,IKEA Business,Meeting room supplies,Sales,Office Supplies,2025-07-09 11:25:08
2025-04-30,436.92,Waste Management,Internet service,HR,Utilities,2025-07-09 11:25:08
2024-08-15,585.36,Comcast Business,Phone service,Finance,Utilities,2025-07-09 11:25:08
2025-05-22,971.59,Business Services Inc,Miscellaneous expense,HR,Other,2025-07-09 11:25:08
2025-05-23,410.55,LinkedIn Learning,Conference registration,Engineering,Training,2025-07-09 11:25:08
2024-09-29,786.79,Uber,Business trip,Operations,Travel,2025-07-09 11:25:08
2025-03-02,1192.94,Udemy Business,Professional certification,Engineering,Training,2025-07-09 11:25:08
2025-05-06,403.18,Business Services Inc,Miscellaneous expense,Engineering,Other,2025-07-09 11:25:08
2025-03-26,1632.22,Udemy Business,Online course,Marketing,Training,2025-07-09 11:25:08
2024-12-18,2351.7,Uber,Conference travel,Sales,Travel,2025-07-09 11:25:08
2024-12-27,981.43,Delta Airlines,Conference travel,Executive,Travel,2025-07-09 11:25:08
2025-06-06,546.3,Best Buy Business,Meeting room supplies,Operations,Office Supplies,2025-07-09 11:25:08
2024-11-13,1983.48,O'Reilly Media,Professional certification,Finance,Training,2025-07-09 11:25:08
2024-07-30,471.17,Pacific Gas & Electric,Phone service,Finance,Utilities,2025-07-09 11:25:08
2025-01-11,2460.29,Staples,Desk supplies,Sales,Office Supplies,2025-07-09 11:25:08
2025-06-18,1154.0,Canva,Content creation,Operations,Marketing,2025-07-09 11:25:08
2024-11-13,4707.91,NetGear,Office furniture,Executive,Equipment,2025-07-09 11:25:08
2024-11-08,875.12,Pluralsight,Conference registration,Sales,Training,2025-07-09 11:25:08
2024-11-27,4498.52,Legal Services Inc,Business consulting,Executive,Professional Services,2025-07-09 11:25:08
2025-07-09,2385.13,Lyft,Client meeting travel,HR,Travel,2025-07-09 11:25:08
2025-02-20,4782.75,LinkedIn Marketing,Marketing tools subscription,Engineering,Marketing,2025-07-09 11:25:08
2024-09-29,341.02,IKEA Business,Office materials,Operations,Office Supplies,2025-07-09 11:25:08
2024-08-31,604.98,Delta Airlines,Business trip,Engineering,Travel,2025-07-09 11:25:08
2025-05-04,340.88,Airbnb,Conference travel,HR,Travel,2025-07-09 11:25:08
2025-02-10,3835.18,Lenovo,Computer equipment,Engineering,Equipment,2025-07-09 11:25:08
2025-06-02,2308.83,Legal Services Inc,Accounting services,Operations,Professional Services,2025-07-09 11:25:08
2024-10-30,546.12,Conference Registration,Conference registration,Operations,Training,2025-07-09 11:25:08
2025-07-07,754.15,IKEA Business,Desk supplies,Executive,Office Supplies,2025-07-09 11:25:08
2025-03-27,4218.13,HP Enterprise,Software/hardware,Sales,Equipment,2025-07-09 11:25:08
2024-09-22,14728.75,BambooHR,Employee benefits,Marketing,Personnel,2025-07-09 11:25:08
2025-01-06,1892.47,Coursera Business,Professional certification,Marketing,Training,2025-07-09 11:25:08
2024-10-24,2725.03,JetBrains,Software licenses,Engineering,IT Infrastructure,2025-07-09 11:25:08
2025-01-14,986.62,JetBrains,Software licenses,Operations,IT Infrastructure,2025-07-09 11:25:08
2025-06-28,1741.25,Conference Registration,Online course,Operations,Training,2025-07-09 11:25:08
2025-01-28,3481.44,NetGear,Office furniture,Sales,Equipment,2025-07-09 11:25:08
2025-01-03,291.2,Home Depot,Desk supplies,Engineering,Office Supplies,2025-07-09 11:25:08
2024-12-05,4652.82,Deloitte Consulting,Accounting services,Finance,Professional Services,2025-07-09 11:25:08
2025-01-02,1628.75,Lyft,Conference travel,Operations,Travel,2025-07-09 11:25:08
2025-02-18,1709.97,United Airlines,Conference travel,Sales,Travel,2025-07-09 11:25:08
2024-08-27,491.44,Office Depot,Desk supplies,HR,Office Supplies,2025-07-09 11:25:08
2024-11-01,3196.54,Adobe Creative,Ad campaign,Sales,Marketing,2025-07-09 11:25:08
2024-08-31,1002.29,O'Reilly Media,Conference registration,Operations,Training,2025-07-09 11:25:08
2024-10-04,998.62,Uber,Client meeting travel,Finance,Travel,2025-07-09 11:25:08
2025-04-23,327.69,Comcast Business,Monthly utilities,Finance,Utilities,2025-07-09 11:25:08
2024-09-26,1942.68,AWS,Software licenses,HR,IT Infrastructure,2025-07-09 11:25:08
2025-01-13,7805.48,Smith & Associates,Business consulting,Marketing,Professional Services,2025-07-09 11:25:08
2024-10-23,4659.38,Hootsuite,Ad campaign,Engineering,Marketing,2025-07-09 11:25:08
2025-01-07,3699.41,Gusto,Contractor payment,Sales,Personnel,2025-07-09 11:25:08
2024-08-01,1147.37,Hilton,Client meeting travel,HR,Travel,2025-07-09 11:25:08
