id,date,amount,vendor,description,department,category,is_recurring,created_at
1,2025-05-17,1497.54,Hilton,Business trip,HR,Travel,False,2025-07-09 11:11:54
2,2025-06-29,4991.97,Apple Business,Computer equipment,Marketing,Equipment,False,2025-07-09 11:11:54
3,2024-09-22,762.39,Business Services Inc,Miscellaneous expense,Marketing,Other,False,2025-07-09 11:11:54
4,2025-04-30,2340.75,Heroku,API usage fees,Finance,IT Infrastructure,False,2025-07-09 11:11:54
5,2024-08-07,2388.08,Slack,Software licenses,Operations,IT Infrastructure,False,2025-07-09 11:11:54
6,2025-03-27,2067.47,GitHub,API usage fees,HR,IT Infrastructure,False,2025-07-09 11:11:54
7,2025-01-18,1441.48,Slack,API usage fees,Finance,IT Infrastructure,False,2025-07-09 11:11:54
8,2025-03-05,1779.78,Udemy Business,Conference registration,Engineering,Training,False,2025-07-09 11:11:54
9,2024-12-28,1392.76,Docker,Cloud hosting costs,Operations,IT Infrastructure,False,2025-07-09 11:11:54
10,2024-08-30,5470.94,PwC,Accounting services,Executive,Professional Services,False,2025-07-09 11:11:54
11,2025-04-22,514.88,GitHub,Cloud hosting costs,Marketing,IT Infrastructure,True,2025-07-09 11:11:54
12,2025-01-31,1750.68,Uber,Conference travel,Marketing,Travel,False,2025-07-09 11:11:54
13,2024-10-28,506.78,Enterprise Rent-A-Car,Conference travel,Operations,Travel,False,2025-07-09 11:11:54
14,2024-08-16,719.18,Business Services Inc,General business cost,Operations,Other,False,2025-07-09 11:11:54
15,2025-01-26,472.63,Home Depot,Meeting room supplies,HR,Office Supplies,False,2025-07-09 11:11:54
16,2025-01-19,151.26,AWS Training,Online course,Marketing,Training,False,2025-07-09 11:11:54
17,2025-02-15,508.39,Home Depot,Desk supplies,Engineering,Office Supplies,False,2025-07-09 11:11:54
18,2025-01-01,7251.87,Wilson Law Firm,Legal consultation,Operations,Professional Services,False,2025-07-09 11:11:54
19,2024-07-31,2632.43,Zoom,Software licenses,Engineering,IT Infrastructure,False,2025-07-09 11:11:54
20,2025-04-03,1740.52,DigitalOcean,Cloud hosting costs,HR,IT Infrastructure,False,2025-07-09 11:11:54
21,2025-01-24,2603.18,KPMG,Legal consultation,Sales,Professional Services,False,2025-07-09 11:11:54
22,2025-03-27,72.72,Office Depot,Desk supplies,Sales,Office Supplies,False,2025-07-09 11:11:54
23,2024-08-07,700.93,AT&T Business,Internet service,Finance,Utilities,False,2025-07-09 11:11:54
24,2025-04-14,344.52,Miscellaneous Vendor,General business cost,Operations,Other,False,2025-07-09 11:11:54
25,2024-07-22,377.23,Coursera Business,Conference registration,Marketing,Training,False,2025-07-09 11:11:54
26,2025-04-12,3808.49,ConEd,Internet service,Executive,Utilities,True,2025-07-09 11:11:54
27,2024-08-16,1980.52,AWS,Cloud hosting costs,Engineering,IT Infrastructure,False,2025-07-09 11:11:54
28,2024-09-07,144.72,Costco Business,Meeting room supplies,HR,Office Supplies,False,2025-07-09 11:11:54
29,2025-04-18,392.98,Conference Registration,Online course,Operations,Training,False,2025-07-09 11:11:54
30,2025-01-26,458.73,Pluralsight,Professional certification,Finance,Training,False,2025-07-09 11:11:54
31,2024-12-24,505.06,HubSpot,Content creation,HR,Marketing,False,2025-07-09 11:11:54
32,2025-03-12,2547.47,Microsoft Azure,Cloud hosting costs,HR,IT Infrastructure,True,2025-07-09 11:11:54
33,2024-12-15,5196.88,KPMG,Legal consultation,Marketing,Professional Services,False,2025-07-09 11:11:54
34,2025-05-10,742.68,Miscellaneous Vendor,General business cost,Sales,Other,False,2025-07-09 11:11:54
35,2025-04-02,1723.51,Hootsuite,Marketing tools subscription,Executive,Marketing,False,2025-07-09 11:11:54
36,2025-02-26,12419.76,Glassdoor,Recruitment fees,Sales,Personnel,True,2025-07-09 11:11:54
37,2025-02-26,1394.88,AT&T Business,Phone service,Operations,Utilities,True,2025-07-09 11:11:54
38,2025-02-04,618.72,Waste Management,Phone service,Marketing,Utilities,False,2025-07-09 11:11:54
39,2024-08-19,697.31,General Supplies Co,Miscellaneous expense,Finance,Other,False,2025-07-09 11:11:54
